treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
tuteur	13	6	0	0	0	1	1	0	0	0	1	1	1	1	1
tuteur	13	7	0	0	0	0	1	1	1	0	1	1	2	2	2
tuteur	13	8	0	0	0	1	1	1	1	0	1	1	1	1	1
tuteur	13	9	0	0	0	0	0	0	0	0	0	0	0	1	1
tuteur	13	10	0	0	1	1	1	1	1	0	1	1	1	1	1
tuteur	13	11	0	1	1	1	0	0	0	1	1	1	1	1	1
tuteur	13	12	0	0	0	1	0	0	0	0	1	1	0	1	1
tuteur	13	13	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	13	14	0	0	0	0	0	0	0	0	0	0	1	0	1
tuteur	14	1	0	0	0	0	1	0	1	NA	NA	1	1	3	NA
tuteur	14	2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	14	3	0	0	0	0	0	0	0	0	0	0	0	1	1
