Country.Region,b,Asym,xmid,P(b),P(Asym),P(xmid),deviance,converged,nbiter
Peru,0.0580650469391453,64737.08057938413,18376.968718787353,1.2623555392785782e-30,2.0833978316839527e-17,2.2458543399447007e-286,8711244.49592995,1,22
Philippines,0.0767886595892772,8995.920530116438,18357.686688429814,5.089755565402775e-54,6.6248781743676845e-68,0,899910.7544954628,1,22
Poland,0.05836087661171641,17723.952464580958,18363.800099523472,8.056560079350767e-84,3.52398876432872e-83,0,288653.5633919957,1,25
Portugal,0.07881586091289512,27694.68450251432,18355.808613013378,1.0251603107474018e-83,9.887799800283576e-102,0,2250029.669278701,1,9
Qatar,0.010804525947424955,15463284.776809268,18562.68891691768,2.499279360450122e-7,0.5040703643441572,1.8162284718330151e-146,1037621.3681082191,0,50
Reunion,0.16023206446106503,417.44228090848594,18347.66479244891,1.603783442173322e-70,2.9167851511446774e-125,0,2870.117554695902,1,21
Romania,0.05978201671484241,16613.57102161174,18363.61613421072,3.170800749739757e-86,2.846446311644389e-86,0,233390.39942461712,1,27
Russian Federation,0.03821493025450909,804002.6724901265,18399.483233784693,2.3605769445226423e-39,1.1630619464452029e-10,2.0988848572689396e-267,17030516.742189404,1,29
Rwanda,0.0817883440894788,182.09518808212945,18350.973337451665,2.1337374156640473e-40,2.2245482149538512e-64,0,1525.790912266613,1,23
Saint Barthelemy,0.06882113790521618,6.892699630500557,18336.373424198802,4.458182718405932e-11,1.5550503488901292e-32,3.553877546715961e-294,41.983632465490885,1,18
St. Kitts and Nevis,0.1596258047268937,14.913121053311938,18351.398041946617,1.0197292811147432e-31,1.2393572009695744e-77,0,27.016821239463614,1,19
St. Lucia,0.28919270757535637,15.089474380472266,18348.380196778166,9.20431790806601e-19,6.109115096972749e-81,0,70.50563821978903,1,41
Saint Pierre and Miquelon,35.920652871281916,1.0000000000000004,18356.094020377917,0.03411046002704437,0,0,3.6220393312518727e-26,0,50
St. Vincent and the Grenadines,0.2919144011077956,12.808489691122785,18355.640776247285,2.7193722513294275e-21,3.298810590925607e-77,0,34.88785580618974,1,20
San Marino,0.03339765526016772,927.4988313562736,18361.635371677126,4.985741840776287e-25,1.9772561717047832e-20,1.4336012581906447e-264,20137.480057452485,1,19
Sao Tome and Principe,35.07043021459428,4.000000000000001,18357.096263987405,0.037867926065442974,0,0,6.274174693374135e-25,0,50
Saudi Arabia,0.014582111854468482,6194620.829722854,18499.316603540487,6.461461649293572e-8,0.38932768871818524,4.1627144686072406e-163,3756225.2659287103,0,50
Senegal,0.026702301061332177,1975.85688889129,18388.15938800295,2.343615040885202e-9,0.0017087471022123085,3.6364918338577176e-212,35032.597351861805,1,33
Serbia,0.08034497036009935,9990.3005331564491,18363.095342671586,4.242955050722952e-34,3.9794945038779616e-40,1.324e-321,1920389.7951189307,1,20
Seychelles,0.1445303011746327,11.111239928899765,18339.044997597834,9.118971187980567e-34,5.7889200838613e-90,0,19.94841764980034,1,17
